0000036000003|"ED Gentle Mint Floss 100 Yd"|3|11.97
0000037000005|"ED Ultimate Mouth Mint Rinse"|1|9.99
0000302640016|"Grainassance Cashew Date Mochi"|1|4.19
0000827400007|"Reeds Extra Ginger Ale Single"|7|10.43
0000827400009|"Reeds Premium Ginger Ale"|4|5.96
0000827409876|"Reeds Peanut Butter Chews"|2|2.98
0000827423415|"Reeds Ginger Candy"|5|6.71
0000827433333|"Reeds Premium Ginger Ale 4Pack"|1|5.99
0000827444444|"Reeds Extra Ginger Ale 4-Pack"|3|17.97
0000902000001|"MH Vegan Lemon Lime Lip Balm"|1|2.49
0000903000002|"MH Spearmint Lip Balm"|1|2.49
0000903000004|"MH Orange Lip Balm"|1|2.49
0000912500016|"A-V Boont Amber Six Pack"|1|9.99
0000912500056|"Anderson Valley Oatmeal Stout"|3|29.97
0000912500076|"A-V Winter Solstice Sixer"|1|9.99
0000912500146|"A-V Hop Ottin Ipa Six Pack"|4|39.96
0000912846962|"Ms. Magazine"|1|5.95
0000928103040|"Juxtapoz Magazine"|6|35.94
0001048600700|"Grandpas Pine Tar Shampoo"|1|3.39
0001087801014|"Ling Ling Chicken Potstickers"|1|4.89
0001087801028|"Ling Ling Vegetable Potsticker"|2|10.58
0001120600034|"Edward Tamari Rice Snaps"|5|19.45
0001120600035|"Edward & Sons Tamari Seaweed"|1|3.99
0001120600037|"Edward & Sons Onion Garlic "|1|3.79
0001120600080|"Premier Japan Ginger Tamari"|2|10.98
0001138100089|"Quattro 1 Liter Jar"|4|10.36
0001138101898|"Frigoverre Tiny Storage Dish"|2|9.98
0001138102565|"Quattro Apple Jar Large"|1|3.5
0001251121232|"Wholesome 23.5oz. Blue Agave"|2|14.58
0001251140600|"Wholesome 2Lbs. Sugar"|1|5.29
0001251144641|"Wholesome Brown Sugar"|1|4.69
0001251170000|"Organic Molasses 32oz"|1|8.39
0001337713003|"Wheatgrass"|1|2.49
0001356200004|"Annies Shells & White Cheddar"|16|31.84
0001356230062|"Annies Family White Cheddar"|1|3.49
0001356230063|"Annies Organic White Cheddar"|2|5.18
0001356230084|"Annies Shells & Aged Cheddar"|8|15.92
0001356230097|"Annies Organic Alfredo Pasta"|1|2.59
0001356230098|"Annies Org. Shells & Cheddar"|1|2.59
0001356230210|"Annies Deluxe Cheddar"|2|7.98
0001356230215|"Annies Cheddar Bunnies"|1|3.49
0001376400300|"Naturebake Stone Whole Wheat"|3|13.47
0001376400500|"NatureBake Surviva Bread"|4|19.56
0001376401200|"Naturebake Spelt"|3|16.77
0001376401500|"Naturebake 4X5 Grain"|6|29.34
0001376402701|"Daves Blues Bread"|16|92.64
0001376402702|"Daves Nuts and Grains Bread"|9|53.91
0001376402703|"Daves Good Seed Bread"|18|104.22
0001376402708|"Daves Goodseed Spelt Bread"|3|19.17
0001376402709|"Daves Powerseed Bread"|10|63.9
0001376402710|"Daves Sprouted Wheat"|13|77.87
0001376402711|"Daves Peace Bomb Baguette"|4|15.96
0001376403108|"Naturebake Hot Dog Buns"|1|3.99
0001376403208|"Naturebake Sandwich Buns"|1|3.99
0001400514177|"ReadyMade Magazine"|3|14.97
0001553210101|"Montebello Spaghetti"|1|4.49
0001566510350|"Roberts Tings"|1|2.89
0001566560100|"Roberts Pirates Booty"|1|2.89
0001566560915|"Roberts Veggie Booty"|4|11.56
0001583900003|"Garden Red Hot Blue Chips"|6|22.14
0001583900101|"Garden of Eatin Pita Bread"|1|2.29
0001583900843|"Garden Chili Lime"|1|3.69
0001607398797|"Bettylou Spirulina Balls"|1|1.19
0001616901003|"Kimono Condoms 3-Pack"|1|4.29
0001616902003|"Kimono Maxx Condoms 3-Pack"|1|4.29
0001625100580|"Stonewalls Spicy Chicken"|2|3.58
0001625100581|"Stonewalls Pepperoni Jerky"|2|3.58
0001625100582|"Stonewalls Teriyaki Beef"|2|3.58
0001625100583|"Stonewalls Hot Pastrami"|4|7.16
0001625100585|"Stonewalls Cajun Bacon"|1|1.79
0001646844297|"Salmolux Nova Lox"|2|8.98
0001658300402|"Midel Grahams"|1|4.39
0001669700065|"Deloach Zinfandel"|1|9.99
0001750004403|"Bom Ami Cleanser"|4|7.16
0001780100505|"Feit 100W Bulbs 4 Pack"|1|3.19
0001792900020|"Red Star Dry Yeast"|7|17.43
0001878776104|"Dr. Bs Almond Soap 4oz"|1|3.79
0001878776116|"Dr. Bs Almond Soap 16oz"|1|8.99
0001878776516|"Dr. Bs Peppermint Soap 16oz"|1|8.99
0001878776632|"Dr. Bronners Sal Suds"|1|11.59
0001878792002|"Dr.Bs Lip Balm Peppermint"|1|2.69
0001878792004|"Dr.Bs Lip Balm Naked"|1|2.69
0001878810109|"Redmond Real Salt"|2|7.58
0001906600195|"Sonoma Guacamole"|2|8.98
0001945800012|"Carmens White Corn Tortillas"|18|19.62
0001945800018|"Carmens Round Chips"|19|45.41
0001957030001|"Soaringheart Original Hummus"|7|22.33
0001957030006|"Soaringheart Garlic Hummus"|7|22.33
0001981553057|"De Casa Black Bean Dip"|5|17.45
0002006525003|"Nature Works Chest Rub"|1|7.99
0002018801301|"Tofutti Vanilla Cuties"|1|4.29
0002107800462|"Sn Acerola Chewable Vit C"|1|13.49
0002107800659|"SN Daily Essential Enzymes"|1|9.99
0002107801342|"SN Vitamin E 400 IU"|1|13.99
0002107802051|"SN Wellness Fizz"|3|16.77
0002107810607|"P.H. Kids Old Indian Syrup"|1|8.99
0002107817070|"P.H. Loquat Respriatory Syrup"|1|8.49
0002107817073|"P.H. Elderberry Syrup"|1|7.99
0002159600005|"Say La Vie Pastillines"|1|1.99
0002167269411|"Mrs. Densons Chocolate chip"|2|5.98
0002167269414|"Mrs. Densons Quinoa Macaroons"|3|8.97
0002188810902|"Rl Just Once B Complete"|1|14.99
0002188810912|"Rl Just Once C-1000"|1|12.99
0002188810951|"RL Just Once Calcium"|1|11.99
0002188811502|"RL  Supra Clear"|1|9.99
0002190850167|"Cascadian Farms Hash Browns"|1|3.29
0002190850187|"Cascadian Farms Spud Puppies"|4|13.96
0002190850197|"Cascadian Farms French Fries"|1|3.49
0002190896511|"Cascadian Farms Apple Juice"|1|4.49
0002190896516|"Cascadian Farms Orange Juice"|6|26.94
